FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,ORGANIZATION DESCRIPTION,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUBSECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE / GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3005,Executive,0000,,1 00,9,9901,Mayor,Annual,1,1,221052.00,221052.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3005,Executive,0000,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,142272.00,142272.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3005,Executive,0000,,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,123600.00,123600.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3005,Executive,0000,,1 00,9,9869,Senior Advisor to the Mayor,Annual,1,1,195000.00,195000.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3005,Executive,0000,,1 00,0,9637,Administrative Assistant,Annual,1,1,110464.00,110464.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3006,Correspondence,0000,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,106632.00,106632.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3007,Scheduling and Advance,0000,,1 00,9,9870,Advance,Annual,1,1,74592.00,74592.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3007,Scheduling and Advance,0000,,1 00,9,9855,Assistant Director - Mayor's Office,Annual,1,1,90048.00,90048.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,9,9899,Chief of Staff,Annual,1,1,217044.00,217044.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,9,9898,Deputy Chief of Staff,Annual,1,1,183180.00,183180.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,9,9889,First Deputy Chief of Staff,Annual,1,1,197760.00,197760.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,135912.00,135912.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,92172.00,92172.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,74592.00,74592.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,9,9873,Assistant Deputy Chief of Staff,Annual,1,1,146544.00,146544.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,9,9869,Senior Advisor to the Mayor,Annual,1,1,198000.00,198000.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,3 00,9,9865,Analyst - Mayor's Office,Annual,1,1,86064.00,86064.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,0,9637,Administrative Assistant,Annual,1,1,118956.00,118956.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,0,9637,Administrative Assistant,Annual,1,1,77964.00,77964.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,0,9637,Administrative Assistant,Annual,1,1,73032.00,73032.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,0,9637,Administrative Assistant,Annual,1,1,66132.00,66132.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0000,,1 00,0,9637,Administrative Assistant,Annual,3,1,63312.00,189936.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,120216.00,120216.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,9854,Communications Director,Annual,1,1,195000.00,195000.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,9616,Assistant Press Secretary,Annual,1,1,106596.00,106596.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,9616,Assistant Press Secretary,Annual,1,1,97536.00,97536.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,9616,Assistant Press Secretary,Annual,1,1,95664.00,95664.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,9616,Assistant Press Secretary,Annual,1,1,89616.00,89616.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,9615,Press Secretary,Annual,1,1,118956.00,118956.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,0925,Photographer,Annual,1,1,75000.00,75000.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,3 00,10,0924,Photographer and Creative Director,Annual,1,1,103464.00,103464.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,0744,Press Aide II,Annual,1,1,82740.00,82740.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,0744,Press Aide II,Annual,1,1,75000.00,75000.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0000,,1 00,9,0740,Press Aide,Annual,1,1,61800.00,61800.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3100,Office of the Chief Financial Officer,0000,,1 00,9,9896,Chief Financial Officer,Annual,1,1,200892.00,200892.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0000,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,146544.00,146544.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0000,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,123600.00,123600.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0000,,1 00,9,9877,Director - Mayor's Office,Annual,2,1,103488.00,206976.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0000,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,82740.00,82740.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0000,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,76824.00,76824.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0000,,1 00,9,9873,Assistant Deputy Chief of Staff,Annual,1,1,183180.00,183180.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0000,,1 00,9,9873,Assistant Deputy Chief of Staff,Annual,1,1,152076.00,152076.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0000,,3 00,9,9865,Analyst - Mayor's Office,Annual,1,1,88644.00,88644.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0000,,3 00,9,9865,Analyst - Mayor's Office,Annual,1,1,81960.00,81960.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3110,Office of Infrastructure and Services,0000,,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,2,1,99672.00,199344.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3110,Office of Infrastructure and Services,0000,,1 00,9,9871,Assistant Deputy Mayor,Annual,1,1,152076.00,152076.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0000,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,160284.00,160284.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0000,,1 00,9,9877,Director - Mayor's Office,Annual,2,1,152172.00,304344.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0000,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,144828.00,144828.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0000,,1 00,9,9807,Legislative Assistant,Annual,1,1,82740.00,82740.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0000,,1 00,9,9807,Legislative Assistant,Annual,1,1,76824.00,76824.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0000,,3 00,9,9804,Senior Legislative Asst,Annual,1,1,111864.00,111864.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0000,,3 00,9,9804,Senior Legislative Asst,Annual,1,1,105528.00,105528.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0000,,3 00,9,9804,Senior Legislative Asst,Annual,1,1,105012.00,105012.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0000,,1 00,9,9898,Deputy Chief of Staff,Annual,1,1,195000.00,195000.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0000,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,103488.00,103488.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0000,,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,98484.00,98484.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0000,,1 00,9,9874,Project Manager - Mayor's Office,Annual,2,1,89616.00,179232.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0000,,1 00,9,9873,Assistant Deputy Chief of Staff,Annual,1,1,140808.00,140808.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3135,Office of Business  Economic and Neighborhood Development (BEND),0000,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,113148.00,113148.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3135,Office of Business  Economic and Neighborhood Development (BEND),0000,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,90048.00,90048.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3135,Office of Business  Economic and Neighborhood Development (BEND),0000,,1 00,9,9872,Deputy Mayor,Annual,1,1,195000.00,195000.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3135,Office of Business  Economic and Neighborhood Development (BEND),0000,,1 00,9,9871,Assistant Deputy Mayor,Annual,1,1,169956.00,169956.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3135,Office of Business  Economic and Neighborhood Development (BEND),0000,,1 00,9,9871,Assistant Deputy Mayor,Annual,1,1,140805.00,140805.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3135,Office of Business  Economic and Neighborhood Development (BEND),0000,,3 00,9,9866,Senior Analyst - Mayor's Office,Annual,1,1,90000.00,90000.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3145,Office of Policy,0000,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,110464.00,110464.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3145,Office of Policy,0000,,1 00,9,9873,Assistant Deputy Chief of Staff,Annual,1,1,152172.00,152172.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3145,Office of Policy,0000,,3 00,9,9865,Analyst - Mayor's Office,Annual,1,1,95568.00,95568.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3160,Office of Immigrant  Migrant and Refugee Rights,0000,,1 00,9,9872,Deputy Mayor,Annual,1,1,195000.00,195000.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3160,Office of Immigrant  Migrant and Refugee Rights,0000,,1 00,9,9871,Assistant Deputy Mayor,Annual,1,1,152172.00,152172.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3160,Office of Immigrant  Migrant and Refugee Rights,0000,,3 00,9,9866,Senior Analyst - Mayor's Office,Annual,1,1,105528.00,105528.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3170,Office of Labor Relations,0000,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,127488.00,127488.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3170,Office of Labor Relations,0000,,1 00,9,9872,Deputy Mayor,Annual,1,1,195000.00,195000.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3180,Office of Education and Youth,0000,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,118464.00,118464.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3180,Office of Education and Youth,0000,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,87000.00,87000.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3180,Office of Education and Youth,0000,,1 00,9,9872,Deputy Mayor,Annual,1,1,195000.00,195000.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3185,Office of Health And Human Services,0000,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,125676.00,125676.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3185,Office of Health And Human Services,0000,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,105528.00,105528.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3185,Office of Health And Human Services,0000,,1 00,9,9872,Deputy Mayor,Annual,1,1,195000.00,195000.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3185,Office of Health And Human Services,0000,,1 00,9,9871,Assistant Deputy Mayor,Annual,1,1,140808.00,140808.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3185,Office of Health And Human Services,0000,,3 00,9,9865,Analyst - Mayor's Office,Annual,1,1,89616.00,89616.00
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3185,Office of Health And Human Services,0000,,3 00,9,9865,Analyst - Mayor's Office,Annual,1,1,84456.00,84456.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,1 00,9,9903,Inspector General,Annual,1,1,200892.00,200892.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,GY 11,20,3051,Senior Equity Officer,Annual,1,1,141132.00,141132.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,BX 13,20,1396,Human Resources Associate - IG,Annual,1,1,60660.00,60660.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,BX 18,10,1307,Manager of Human Resources,Annual,1,1,97836.00,97836.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,BX 16,10,0802,Executive Administrative Assistant II,Annual,1,1,80124.00,80124.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,BX 17,10,0790,Public Relations Coordinator,Annual,1,1,97836.00,97836.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,BX 17,10,0790,Public Relations Coordinator,Annual,1,1,93384.00,93384.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,B 15,1,0729,Information Coordinator,Annual,1,1,93504.00,93504.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,PX 02,9,0705,Director of Public Affairs,Annual,1,1,132912.00,132912.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,BX 12,20,0323,Administrative Assistant III - Excluded,Annual,1,1,60660.00,60660.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,GY 09,20,0171,Manager of Finance - IG,Annual,1,1,89112.00,89112.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,BX 13,10,0127,Finance Associate,Annual,1,1,66516.00,66516.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0000,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,10492.00,10492.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0000,,X 32,9,9756,General Counsel,Annual,1,1,181356.00,181356.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0000,,BX 15,10,1611,Case Analyst,Annual,1,1,76476.00,76476.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0000,,GY 09,9,1264,Attorney - IG,Annual,2,1,89112.00,178224.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0000,,GY 12,0,1262,Assistant Inspector General,Annual,2,1,144756.00,289512.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0000,,GY 12,0,1262,Assistant Inspector General,Annual,2,1,131124.00,262248.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0000,,GY 12,0,1262,Assistant Inspector General,Annual,2,1,115992.00,231984.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0000,,BX 12,10,1230,Complaint Intake Specialist - IGO,Annual,1,1,57852.00,57852.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0000,,BX 12,10,1230,Complaint Intake Specialist - IGO,Annual,1,1,55272.00,55272.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0000,,BX 12,10,1230,Complaint Intake Specialist - IGO,Annual,2,1,52716.00,105432.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0000,,X 33,0,1215,Chief Assistant Inspector General,Annual,1,1,153384.00,153384.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0000,,X 33,0,1202,Associate General Counsel - IG,Annual,3,1,158508.00,475524.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0000,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,19611.00,19611.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,X 32,9,9659,Deputy Inspector General,Annual,1,1,175512.00,175512.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,X 33,0,1260,Chief Investigator - IG,Annual,1,1,153384.00,153384.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,X 33,0,1260,Chief Investigator - IG,Annual,1,1,146808.00,146808.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,GY 09,0,1222,Investigator III - IG,Annual,2,1,122556.00,245112.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,GY 09,0,1222,Investigator III - IG,Annual,1,1,111000.00,111000.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,GY 09,0,1222,Investigator III - IG,Annual,1,1,101628.00,101628.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,GY 08,0,1221,Investigator II - IG,Annual,1,1,101628.00,101628.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,GY 08,0,1221,Investigator II - IG,Annual,1,1,82884.00,82884.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,GY 06,0,1219,Investigator I - IG,Annual,1,1,82884.00,82884.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,GY 06,0,1219,Investigator I - IG,Annual,2,1,72384.00,144768.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,GY 06,0,1219,Investigator I - IG,Annual,1,1,68856.00,68856.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0000,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,20961.00,20961.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3027,Audit and Program Review,0000,,GY 08,20,1126,Senior Performance Analyst,Annual,1,1,106272.00,106272.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3027,Audit and Program Review,0000,,GY 08,20,1126,Senior Performance Analyst,Annual,1,1,101628.00,101628.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3027,Audit and Program Review,0000,,GY 07,20,1125,Performance Analyst,Annual,1,1,97332.00,97332.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3027,Audit and Program Review,0000,,GY 07,20,1125,Performance Analyst,Annual,1,1,85236.00,85236.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3027,Audit and Program Review,0000,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,7752.00,7752.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0000,,X 32,9,9659,Deputy Inspector General,Annual,1,1,181356.00,181356.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0000,,GY 08,20,1289,Investigative Analyst,Annual,2,1,97332.00,194664.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0000,,GY 08,20,1289,Investigative Analyst,Annual,2,1,93156.00,186312.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0000,,GY 08,20,1289,Investigative Analyst,Annual,2,1,85236.00,170472.00
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0000,,X 33,0,1252,Chief Investigative Analyst,Annual,1,1,146808.00,146808.00
